docid	exp_genres	date	author	title	origgenres	origsubjs	remove
mdp.39015056818050	science fiction	1977.0	Hamilton, Edmond	The best of Edmond Hamilton / | $c: edited and with an introduction by Leigh Brackett ; afterword by Edmond Hamilton.		Science fiction, American	 
uc2.ark+=13960=t6057gs4v	short stories	1900.0		Stories by English authors		Short stories, English	 
mdp.49015000496639	short stories	1954.0	Blaustein, Albert P	Fiction goes to court : | favorite stories of lawyers and the law selected by famous lawyers / | $c: edited by Albert P. Blaustein.		Short stories, English|Legal stories, English|Legal stories, American|Short stories, American	 
mdp.49015000499468	short stories	1977.0	Gonzales, Laurence	4-4-4 : | short fiction / | $c: by Laurence Gonzales, Grant Lyons, and Roger Rath ; foreword by William Peden.		Short stories, American	 
inu.30000116406277	fairy tales	1934.0	Hole, Christina	Wonder tales of the British Empire / | $c: retold by Christina Hole ; with a foreword by Arthur Bryant.		Fairy tales|Commonwealth countries	 
uc1.32106001959821	historical fiction	1934.0	Wells, H. G. (Herbert George)	Seven science fiction novels.		Animal experimentation|Survival after airplane accidents, shipwrecks, etc|Scientists|Transplantation of organs, tissues, etc|1837-1901, Victoria|Islands of the Pacific|England|Invasion|Time travel|History|Imaginary wars and battles|Invisibility|Extraterrestrial beings	 
mdp.49015001311894	random	1977.0	Le Sueur, Meridel	Song for my time : | stories of the period of repression / | $c: by Meridel Le Sueur.			 
inu.30000101133829	psychological fiction	2005.0	Stace, Wesley	Misfortune : | a novel / | $c: Wesley Stace.	Psychological fiction	England|Aristocracy (Social class)|Social life and customs|Gender identity|Boys|19th century|Sex role	 
mdp.39015050777518	historical fiction|random	1900.0	Champney, Elizabeth W. (Elizabeth Williams)	Anneke : | a little dame of New Netherlands / | $c: by Elizabeth W. Champney ; with illustrations.	Juvenile audience	Colonial period, ca. 1600-1775|History	 
pst.000020748937	fairy tales|folklore	1977.0		The World's best fairy tales : | a Reader's digest anthology / | $c: edited by Belle Becker Sideman ; illustrations by Fritz Kredel.		Folklore|Fairy tales	 
pst.000020748944	fairy tales|folklore	1977.0		The World's best fairy tales : | a Reader's digest anthology / | $c: edited by Belle Becker Sideman ; illustrations by Fritz Kredel.		Folklore|Fairy tales	 
mdp.39015076830838	mystery and detective fiction	1977.0	Hansen, Joseph	Stranger to himself / | $c: Joseph Hansen.	Mystery fiction	African American gays	 
inu.30000111300590	short stories	2005.0	Robbins, David	Discovering fire / | $c: David Robbins.	Short stories		 
inu.39000002591076	war stories	1977.0	Hanson, S. E	Underground out of Holland / | $c: S. E. Hanson.		Underground movements|Personal narratives, British|World War, 1939-1945|Netherlands	 
pst.000017398602	sea stories	1934.0	Grant, George Hook	Consigned to Davy Jones : | my third voyage in the half deck of a British tramp steamer / | $c: by Captain George H. Grant ... with illustrations by Gordon Grant.		Seafaring life	 
mdp.39015071614361	historical fiction|war stories	1900.0	Peterson, Mildred	Jonah's journey / | $c: Mildred Peterson.		History|Civil War, 1861-1865	 
miua.5424575.0001.001	western stories|historical fiction	1900.0	Vint, Hazel Lee	Plenty and to spare / | $c: Hazel Lee Vint.		Michigan|History|Frontier and pioneer life	 
nc01.ark+=13960=t9s191z5j	historical fiction	1900.0	Henty, G. A. (George Alfred)	A roving commission, or, Through the black insurrection of Hayti	Juvenile audience	History|Revolution, 1791-1804|History|Juvenile fiction|Juvenile fiction|Haiti	 
mdp.39015076847261	historical fiction	1900.0	Neukrantz, Klaus	Barricades in Berlin.		1918-1945|History	 
mdp.39076002946031	short stories	1934.0		The best short stories, 1934 : | and the yearbook of the American short story / | $c: edited by Edward J. O'Brien.	Bibliographies	Short stories, American	 
wu.89011718319	random	1900.0	Dudeney, Alice	Folly corner / | $c: by Mrs. H. Dudeney.			 
uc1.b3796816	historical fiction	1934.0	Bates, Ralph	Lean men, | an episode in a life,		Revolution, 1931|History|History	 
uc2.ark+=13960=t9b56g747	legends	1900.0	Brown, Abbie Farwell	The book of saints and friendly beasts		Saints|Animals|Legends	 
osu.32435011385101	western stories	1934.0	Bennet, Robert Ames	Guns on the Rio Grande / | $c: Robert Ames Bennet.	Western stories	Cowboys|Men|Ranch life|Conduct of life	 
uc1.b4536270	historical fiction|war stories	1977.0	Hoyt, Edwin Palmer	Raider Wolf : | the voyage of Captain Nerger, 1916-1918 / | $c: Edwin P. Hoyt.		Germany|Cargo ships|Wolf (Steamship)|b. 1875|Naval operations|Nerger, Karl August|History|World War, 1914-1918|Armed merchant ships|20th century	 
inu.30000102922899	historical fiction	2005.0	Duffy, James	Sand of the arena : | a gladiators of the empire novel / | $c: by James Duffy.	Historical fiction	Gladiators|Nero, 54-68|History	 
inu.30000102923913	psychological fiction	2005.0	Clevenger, Craig	Dermaphoria : | a novel / | $c: by Craig Clevenger.	Psychological fiction	Criminals|Loss (Psychology)|Memory	 
inu.39000005809541	legends	1977.0		Rabbi Eizik : | Hasidic stories about the Zaddik of Kallo / | $c: translated from the Hungarian with an introd. and notes by Andrew Handler.	Bibliographies	Hungary|Hasidim|Taub, Eizik|1751-1821|Literary collections|Legends|Jews|Nagykálló	 
inu.30000123932737	fairy tales	1875.0	Andersen, H. C. (Hans Christian)	Andersen's Fairy tales and stories / | $c: translated from the Danish by Jean Hersholt ; and illustrated by Fritz Kredel.	Bibliographies	Denmark|Translations into English|Children's stories, Danish|Fairy tales	 
inu.30000123933073	fairy tales	1875.0	Andersen, H. C. (Hans Christian)	Andersen's Fairy tales and stories / | $c: translated from the Danish by Jean Hersholt ; and illustrated by Fritz Kredel.	Bibliographies	Denmark|Translations into English|Children's stories, Danish|Fairy tales	 
inu.39000005783860	tales	1977.0		Elves, trolls and elemental beings : | Icelandic folktales II / | $c: translated by Alan Boucher.		Fairies|Tales|Iceland|Trolls	 
inu.39000005783878	tales|legends	1977.0		Adventures, outlaws and past events : | Icelandic folktales III  / | $c: translated by Alan Boucher.		Iceland|Tales|Legends	 
pst.000006568290	science fiction	1977.0		Strangeness : | [a collection of strikingly uncommon fiction by distinguished writers] / | $c: edited by Thomas M. Disch & Charles Naylor.	Science fiction		 
uc2.ark+=13960=t9571hd9j	historical fiction	1900.0	Laut, Agnes C. (Agnes Christina)	Lords of the North		History|Northwest Territories|Juvenile fiction	 
pst.000060022059	short stories	1977.0		Great action stories / | $c: Edited and with an Introduction by William Kittredge and Steven M. Krauzer.		Short stories	 
uc1.32106018128261	psychological fiction	2005.0	Rushdie, Salman	Shalimar the Clown : | a novel / | $c: Salman Rushdie	Novel|Psychological fiction	Assassins|Clowns|Adultery|India|Revenge|California|Americans|Los Angeles|Assassination|Ambassadors|Triangles (Interpersonal relations)	 
uc2.ark+=13960=t9q240r39	historical fiction	1868.0	Thompson, Daniel P. (Daniel Pierce)	The Green Mountain boys		History|Vermont	 
pst.000007509148	short stories	1977.0		Fiction: the narrative art / | $c: [selected by] James W. Kirkland, Paul W. Dowell.		Short stories	 
mdp.39015063962404	random	1935.0	Thayer, Lee	Sudden death, | $c: by Lee Thayer.			 
pst.000013155629	adventure stories	1977.0	Cussler, Clive	Iceberg / | $c: Clive Cussler.	Adventure stories	Pitt, Dirk (Fictitious character)	 
uc1.32106002090691	science fiction	1977.0	Bloch, Robert	Cold chills / | $c: Robert Bloch.		Science fiction, American	 
uc1.$b244205	random	1935.0	Flandrau, Charles Macomb	Sophomores abroad / | $c: Charles Macomb Flandrau.			 
pst.000064707495	historical fiction	2005.0	Alten, Steve	The Loch / | $c: Steve Alten.	Leisure reading|Fantasy fiction|Historical fiction	Loch Ness monster|Sea monsters	 
uc1.32106002059688	science fiction	1977.0		Earth is the strangest planet : | ten stories of science fiction / | $c: edited by Robert Silverberg.		Science fiction, American|Science fiction, English	 
coo.31924100047392	humor	1870.0	Dickens, Charles	Bardell v. Pickwick : | the trial for breach of promise of marriage held at the Guildhall Sittings, on April 1, 1828, before Mr. Justice Stareleigh and a special jury of the City of London / | $c: edited with notes and commentaries by Percy Fitzgerald.	Legal stories|Humorous fiction	Trials (Breach of promise)	 
uc1.$b248815	historical fiction	1900.0	Embree, Charles Fleming	A dream of a throne;		Mexico|1821-1861|History	 
uc1.32106002164348	love stories	1977.0	Casey, John	An American romance / | $c: John Casey.		United States|Man-woman relationships	 
usu.39060016228362	psychological fiction	2005.0	Wingfield, Andrew	Hear him roar : | a novel / | $c: Andrew Wingfield.	Suspense fiction|Psychological fiction	Puma|Biologists|Midlife crisis|Wildlife management	 
pst.000066172499	psychological fiction|love stories	2005.0	Mason, Bobbie Ann	An atomic romance : | a novel / | $c: Bobbie Ann Mason.	Novel|Psychological fiction|Love stories	Radioactive wastes|Nuclear power plants|Plutonium|Employees|Women biologists|Environmental aspects	 
uc1.$b249880	folklore	1900.0	Fraser, William Alexander	Mooswa		Folklore|Animals	 
uc1.$b285100	random|legends	1900.0	Ollivant, Alfred	Owd Bob : | the grey dog of Kenmuir / | $c: Alfred Ollivant.		Legends and stories|Dogs	 
uc1.32106002006093	random	1961.0	O'Brien, Flann	The hard life : | a novel / | $c: Flann O'Brien [i.e. B. O'Nolan].			 
uc1.32106006598657	short stories	1977.0		Arab stories, East and West / | $c: translated with an introd. by R. Y. Ebied and M. J. L. Young.	Bibliographies	Short stories, Arabic|Short stories, English|Social life and customs|Translations into English	 
uc1.$b303766	autobiography	1900.0		Kruger's secret service, by one who was in it		South African War, 1899-1902|Personal narratives	 
uc1.32106014452376	mystery and detective fiction	1977.0	Pronzini, Bill	Blowback / | $c: Bill Pronzini		California|San Francisco|Private investigators|Nameless Detective (Fictitious character)	 
mdp.39015064689246	psychological fiction|domestic fiction	2006.0	Tucker, Lisa	Once upon a day : | a novel / | $c: Lisa Tucker.	Domestic fiction|Psychological fiction	Family relationships|Ranch life|Brothers and sisters|Young women|Missing persons|Motion picture producers and directors	 
uc2.ark+=13960=t0wp9z322	historical fiction	1870.0	Dumas, Alexandre	Louise de La Valliere / | $c: by Alexander Dumas.		French literature|La Vallière, Françoise-Louise de La Baume Le Blanc|History|1644-1710|duchesse de|Louis XIV, 1643-1715	 
mdp.39015063339785	humor|love stories	2006.0	Vapnyar, Lara	Memoirs of a muse / | $c: Lara Vapnyar.	Love stories|Bildungsromans|Humorous fiction	Inspiration|Russian Americans|Women immigrants|Authorship|Novelists	 
uc2.ark+=13960=t0qr4qt4s	folklore	1867.0	Bulfinch, Thomas	Age of chivalry; or, King Arthur and his knights		Chivalry|Arthur|Folklore|King|Celts	 
mdp.39015063014073	war stories	1935.0	Archibald, Norman	Heaven high, hell deep, 1917-1918, | $c: Norman Archibald.		World War, 1914-1918|Personal narratives, American	 
uc1.b3547063	humor	1900.0		A Century of humour / | $c: edited by P. G. Wodehouse.		English wit and humor	 
inu.39000002610124	science fiction	1977.0	Pohl, Frederik	Gateway / | $c: Frederik Pohl.	Science fiction		 
wu.89089956437	war stories	1935.0	Burton, O. E. (Ormond Edward)	The silent division : | New Zealanders at the front, 1914-1919 / | $c: by O. E. Burton; with foreword by Major-General Sir Andrew Russell.		New Zealand|Regimental histories|World War, 1914-1918	 
mdp.39015027340721	war stories	1935.0	Kähnert, Maria Elisabeth	Jagdstaffel 356, by M. E. Kähnert; translated from the German by Claud W. Sykes.		World War, 1914-1918|Aerial operations	 
mdp.39015086848747	random|mystery and detective fiction	1900.0	Doyle, Arthur Conan, Sir	A study in scarlet : | a novel / | $c: by A. Conan Doyle.	Detective and mystery stories	Holmes, Sherlock (Fictitious character)|Fiction in English, 1900- Texts|Private investigators|England|Mormons	 
inu.30000126593593	legends	1900.0	Oakley, G. R. (George Robert)	In olden days : | Lancashire legends : Rochdale and neighbourhood / | $c: by G.R. Oakley.		Rochdale Region (Lancashire)|England|Legends	 
mdp.39015063240744	psychological fiction	2006.0	Ridgway, Keith	Animals / | $c: Keith Ridgway.	Psychological fiction	Illustrators|Artists	 
mdp.39015068315996	random	1935.0	King, Godfré Ray	The magic presence, | $c: by Godfré Ray King [pseud.]			 
uc1.$b799488	folklore	1935.0	Kantor, MacKinlay	The voice of Bugle Ann, | $c: by MacKinlay Kantor.		Folklore|Dogs	 
mdp.39015063279908	random|psychological fiction	2006.0	Shaffner, George	One part angel : | a novel / | $c: by George Shaffner.	Novel|Psychological fiction	Traveling sales personnel|Female friendship|City and town life|Life change events|Bed and breakfast accommodations	 
uc1.b3885959	random	1977.0	Adams, Eugenia	Assault on Eden / | $c: by Eugenia Adams.			 
uc1.b3178914	short stories	1977.0		Modern Urdu short stories from Pakistan / | $c: compiled by S. Viqar Azim ; foreword by Faiz Ahmed Faiz.		Translations from Urdu|Short stories, Urdu|Short stories, English|Pakistan|Translations into English	 
coo.31924105502979	short stories	1977.0		Parent and child in fiction / | $c: edited by Robert D. Strom.		Parent and child|Short stories, English|Short stories, American	 
uc2.ark+=13960=t2k64dk18	historical fiction	1882.0	Ainsworth, William Harrison	The admirable Crichton		France|1560-1582|Henry III, 1574-1589|Crichton, James|History	 
mdp.39015011422907	historical fiction	1935.0	Serafimovich, A	The iron flood, | $c: by A. Serafimovich [pseud.] translated from the Russian.		Revolution, 1917-1921|History	 
mdp.39015003933572	short stories	1935.0	Canby, Henry Seidel	A study of the short story. | $c: By Henry Seidel Canby ... and Alfred Dashiell ...		Short stories|Short story	 
uc1.b4355403	random	1977.0		Meet me at the Melba : | a novel / | $c: 			 
uc2.ark+=13960=t2p55g57k	random	1900.0	Bourget, Paul	Domestic dramas =			 
uc1.32106018535572	domestic fiction	2006.0	Harrigan, Stephen	Challenger Park / | $c: Stephen Harrigan	Domestic fiction|Suspense fiction	Family relationships|Marital conflict|Astronauts|Women astronauts|Space shuttles	 
uc1.b4451284	historical fiction	1934.0	Whitlock, Brand	Brand Whitlock's The Buckeyes : | politics and abolitionism in an Ohio town, 1836-1845 / | $c: edited with an introd. by Paul W. Miller.	Bibliographies	1787-1865|History	 
uc1.b4463841	love stories	1977.0	Markson, David	Springer's progress / | $c: by David Markson.		New York (State)|Men|Man-woman relationships|New York|Authors	 
mdp.39015066057343	short stories	1935.0	Slesinger, Tess	Time: the present : | a book of short stories.	Short stories		 
pst.000018907810	short stories	1977.0		The Heath introduction to fiction / | $c: with a pref. on fiction and introductory notes by John J. Clayton.		Short stories	 
mdp.39015063348760	random	1927.0	Akutagawa, Ryūnosuke	Rashōmon and seventeen other stories / | $c: Ryūnosuke Akutagawa ; selected and translated with notes by Jay Rubin ; with an introduction by Haruki Murakami.	Bibliographies	Akutagawa, Ryūnosuke|Translations into English|1892-1927	 
mdp.39015064451241	random	1935.0	Olshausen-Schönberger, Käthe	Land of women; / | $c: translated from the German by the author.		Lynch, Elisa Alicia|1827-1870|López, Francisco Solano|1835-1886	 
mdp.39015030186863	short stories	1935.0	Feuchtwanger, Lion	Marianne in India, and seven other tales / | $c: Lion Feuchtwanger ; translated by Basil Creighton.	Short stories		 
uc2.ark+=13960=t72v2ff79	historical fiction	1870.0	Dumas, Alexandre	Chicot, the jester = | La dame de Monsoreau / | $c: by Alexandre Dumas ; translated from the latest French ed.		Henry III, 1574-1589|History	 
mdp.39015064682712	western stories	2006.0	Henderson, William Haywood	Augusta Locke / | $c: William Haywood Henderson	Western stories	Women pioneers|Women|Wilderness areas|West (U.S.)	 
uc1.b3625004	western stories	1935.0	Sandoz, Mari	Old Jules, | $c: by Mari Sandoz.		Sandoz, Jules Ami|Frontier and pioneer life|Nebraska|1857?-1928	 
mdp.39015064683025	humor	2006.0	Wasserstein, Wendy	Elements of style : | a novel / | $c: Wendy Wasserstein	Satire|Humorous fiction	Women pediatricians|Female friendship	 
inu.32000009355811	tales|folklore	1935.0	Hurston, Zora Neale	Mules and men, | $c: by Zora Nelae Hurston; with an introduction by Franz Boas ... 10 illustrations by Miguel Covarrubias.		Louisiana|Florida|Tales|Folklore|Music|Voodooism|African Americans	 
uc2.ark+=13960=t5db7x59r	mystery and detective fiction	1873.0	Gaboriau, Emile	Monsieur Lecoq	Mystery fiction	French fiction|Translations into English	 
pst.000066460190	science fiction	1947.0	Heinlein, Robert A. (Robert Anson)	Rocket ship galileo / | $c: Robert A. Heinlein.		Spaceships|Space vehicles|High school students|Young adult fiction|Science fiction, American|Science fiction|Nuclear physicists	 
mdp.39015047485134	random	1935.0	Nesbitt, L. M (Lewis Mariano)	Hell-hole of creation; | the exploration of Abyssinian Danakil.			 
mdp.39015064690400	random	2006.0	Robertson, James	The testament of Gideon Mack / | $c: James Robertson.		Social conditions|Fathers and sons|Scotland|Clergy|Devil|Christianity	 
mdp.39015064690855	short stories	2006.0		The National Short Story Prize 2006.		Short stories, English	 
mdp.39015020462811	historical fiction|autobiography	1935.0	grafini͡a, Tolsti͡a, Aleksandra L'vovna	I worked for the soviet, | $c: by Countess Alexandra Tolstoy; translated by the author in collaboration with Roberta Yerkes.		Prisons|Communism|Revolution, 1917-1921|Personal narratives|Soviet Union|History	 
uc2.ark+=13960=t9w08z563	historical fiction	1900.0	J?_kai, M?_r	A Christian but a Roman		Rome|History|Empire, 30 B.C.-284 A.D	 
mdp.39015064680278	love stories	2006.0	Jensen, Kim	The woman I left behind : | a novel / | $c: by Kim Jensen.	Novel|Love stories	Young women|Palestinian Arabs	 
mdp.39015064917092	western stories	2006.0	Randles, Slim	Sun dog days / | $c: Slim Randles.		Cowboys|Male friendship|Periodical editors	 
mdp.39015043115644	random	1935.0	Albee, George Sumner	Not in a day / | $c: by George Albee.			 
wu.89052492675	western stories	1935.0	James, Will	Home ranch, | $c: by Will James; illustrated by the author.		Cowboys	 
inu.30000001396906	short stories	1935.0	Wheatley, Dennis	A century of horror stories ; | $c: edited by Dennis Wheatley.		Short stories	 
mdp.39015003491696	science fiction	1973.0	Anderson, Poul	The Queen of Air and Darkness / | $c: by Poul Anderson ; with a new introd. by the author.		Science fiction, American	 
mdp.39015033871693	science fiction	1978.0	Anderson, Poul	The horn of time / | $c: Poul Anderson.		Science fiction, American	 
mdp.39015014113222	science fiction	1978.0		Universe 8 / | $c: edited by Terry Carr.		Science fiction, American	 
uc1.32106018726833	psychological fiction|domestic fiction	2006.0	Glass, Julia	The whole world over : | a novel / | $c: Julia Glass	Domestic fiction|Psychological fiction	Marital conflict|Governors|September 11 Terrorist Attacks, 2001|Women cooks|Pastry industry	 
uc1.b3407777	historical fiction|war stories	1935.0	Morrow, Honoré	Great captain; | the Lincoln trilogy of Forever free, With malice toward none, The last full measure, | $c: by Honoré Morrow; with a preface by William Lyon Phelps.		Civil War, 1861-1865|1809-1865|Lincoln, Abraham|History	 
mdp.39015019348351	short stories	1978.0		Five women writers of Costa Rica : | short stories / | $c: by Carmen Naranjo ... [et al.] ; Victoria Urbano, editor.		Women authors|Short stories, English|Translations from Spanish|Short stories, Costa Rican|Translations into English	 
uc1.$b253330	short stories	1935.0	McKenzie, Vernon	"These stories went to market; | successful ""first"" stories published in Collier's, Saturday evening post, Harper's bazaar ... | $c: by Vernon McKenzie ..."		Short stories, American	 
mdp.39015016903075	science fiction	1978.0	Aldiss, Brian W. (Brian Wilson)	Starswarm / | $c: Brian W. Aldiss ; with a new introd. by Joseph Milicia.		Science fiction, English	 
mdp.39015022187002	autobiography	1978.0	Bernen, Robert	Tales from the Blue Stacks / | $c: Robert Bernen.	Autobiography		 
uc2.ark+=13960=t4xg9fs63	historical fiction	1900.0	Turnbull, Francese Hubbard Litchfield	The golden book of Venice;		1508-1797|History|Venice (Italy)	 
mdp.39015000680200	historical fiction	1978.0	Michener, James A. (James Albert)	Chesapeake / | $c: James A. Michener.		History	 
mdp.39015004106376	mystery and detective fiction	1978.0	Estleman, Loren D	Sherlock Holmes vs. Dracula, or, The adventure of the sanguinary count / | $c: by John H. Watson, M.D. ; as edited by Loren D. Estelman.		Holmes, Sherlock (Fictitious character)|Vampires|Dracula, Count (Fictitious character)|Private investigators|England	 
mdp.39015005011930	historical fiction|war stories	1978.0	Vaughan, Matthew	Major Stepton's war / | $c: by Matthew Vaughan.		History|Civil War, 1861-1865	 
uc1.$b300980	random	1935.0	Irwin, Wallace	The Julius Caesar murder case / | $c: by Wallace Irwin.		Caesar, Julius	 
mdp.39015064867529	historical fiction	2006.0	Drake, Nick	Nefertiti : | the book of the dead / | $c: Nick Drake.	Suspense fiction	Akhenaton|Kings and rulers|Queen of Egypt|Eighteenth dynasty, ca. 1570-1320 B.C|Nefertiti|History|14th cent. B.C|King of Egypt	 
mdp.39015064809620	historical fiction|adventure stories|random	1962.0	Lamb, Harold	Wolf of the steppes / | $c: Harold Lamb ; edited by Howard Andrew Jones ; introduction by S.M. Stirling.	Adventure fiction|Historical fiction	Cossacks|Asia, Central|Steppes|History|16th century	 
mdp.39015064739819	psychological fiction	2006.0	Drabble, Margaret	The sea lady : | a late romance / | $c: Margaret Drabble.	Psychological fiction	Autobiographical memory|Social life and customs|1945-|Women scholars|Reunions|Feminists|Marine biologists	 
uc2.ark+=13960=t3222v08w	psychological fiction	1881.0	Dostoyevsky, Fyodor	Crime and punishment | $c: [by] Fyodor Dostoyevsky. Translated from the Russian by Constance Garnett.	Bibliographies	Mystery|Russian fiction|Translations into English|Psychological fiction, Russian|Psychological fiction|19th century|Crime|Russia	 
mdp.39015001151276	science fiction	1978.0	Dick, Philip K	A handful of darkness / | $c: Philip K. Dick ; with a new introd. by Richard A. Lupoff.		Science fiction, American	 
mdp.39015008968219	mystery and detective fiction	1978.0	Vidal, Gore	Three by Box : | the complete mysteries of Edgar Box [i.e. G. Vidal].		Detective and mystery stories, American	 
uc1.$b23884	adventure stories	1935.0	Hyatt, Ernest	All over the place; | the true record of the author's striking and varied experiences in many parts of the world, | $c: by Ernest Hyatt.		Adventure and adventurers|Hyatt, Ernest	 
uc1.b4951171	war stories	1978.0	Wouk, Herman	War and remembrance : | a novel / | $c: by Herman Wouk.		World War, 1939-1945	 
mdp.39015010411059	love stories	1978.0	McMurtry, Larry	Somebody's darling / | $c: Larry McMurtry.	Love stories	Women motion picture producers and directors|Motion picture industry	 
uc1.$b63743	historical fiction	1935.0	Scott, Natalie Anderson	So brief the years, | $c: by Natalie B. Sokoloff.		History|Revolution, 1917-1921	 
uc1.$b63817	science fiction	1935.0	Owens, Claire Myers	The unpredictable adventure : | a comedy of women's independence / | $c: by Claire Myers Spotswood.	Bibliographies|Utopias	Utopias	 
mdp.39015003928531	historical fiction	1978.0	Gedge, Pauline	The eagle and the raven : | a novel / | $c: by Pauline Gedge.		Roman period, 55 B.C.-449 A.D|History	 
uc1.$b87144	random	1935.0	Coleman, Richard	Don't you weep, don't you moan, | $c: by Richard Coleman.			 
mdp.39015024001540	historical fiction	1978.0	Talag, Melanie V	The Sanchezes of old Manila : | a historical novel set in the 1890's / | $c: Melanie V. Talag.		1812-1898|History	 
mdp.39015004030758	random|science fiction	1965.0	Disch, Thomas M	The genocides / | $c: Thomas M. Disch ; with a new introd. by David G. Hartwell.	Science fiction	Plants	 
mdp.39015064761334	psychological fiction	2006.0	Slaughter, Karin	Triptych / | $c: Karin Slaughter.	Suspense fiction|Novel|Psychological fiction	Serial murderers	 
mdp.39015000681547	random	1978.0	Aldiss, Brian W. (Brian Wilson)	Enemies of the system : | a tale of homo uniformis / | $c: Brian Aldiss.			 
mdp.39015064760914	psychological fiction|mystery and detective fiction	2006.0	Gerritsen, Tess	The Mephisto Club : | a novel / | $c: Tess Gerritsen.	Mystery fiction|Novel|Psychological fiction	Rituals|Rizzoli, Jane, Detective (Fictitious character)|Medical examiners (Law)|Satanism|Serial murders	 
mdp.39015064761300	historical fiction|war stories	2006.0	Grant, Richard	Another green world / | $c: Richard Grant.	Novel|Historical fiction	Underground movements|Yugoslavia|Poland|Americans|Auschwitz (Concentration camp)|World War, 1939-1945|Europe	 
uc2.ark+=13960=t8mc8w57s	historical fiction	1900.0	Kaisenberg, Moritz Leopold Ludolf von	The memoirs of the Baroness Cecile de Courtot		1789-1815|History|France	 
uc1.32106016856145	historical fiction	1935.0	Der Ling, Princess	Son of Heaven, | $c: by Princess Der Ling.		Emperor of China|1871-1908|Kuang-hsü|History|1861-1912	 
nyp.33433074814074	humor	1900.0	Simonds, David Kendall	American wit and humor; | a collection from various sources classified under appropriate subject-headings.		American wit and humor	 
uc2.ark+=13960=t66401d3x	random	1900.0	Croker, B. M. (Bithia Mary)	Odds and ends / | $c: by B.M. Croker.			 
nyp.33433070244508	historical fiction	1900.0	Jókai, Mór	The baron's sons; | a romance of the Hungarian revolution of 1848, | $c: by Dr. Maurus Jókai ... tr. from the 4th Hungarian ed. by Percy Favor Bicknell.		History|Uprising of 1848-1849	 
uc2.ark+=13960=t6h136m61	historical fiction|war stories	1900.0	Sholokhov, Mikhail Aleksandrovich	And quiet flows the Don; | a novel. | $c: [A translation from the Russian by Stephen Gary; rev. and completed by Robert Daglish.]		History|1905-|Revolution, 1917-1921|World War, 1914-1918|Translations into English|Soviet Union|Sholokhov, Mikhail Aleksandrovich|History	 
mdp.39015066848535	short stories	2006.0	Lerner, Edward M	Creative destruction / | $c: Edward M. Lerner.		Short stories, American	 
mdp.39015008604459	science fiction	1978.0		Isaac Asimov's masters of science fiction / | $c: edited by George Scithers.		Science fiction	 
mdp.39015008981576	war stories	1978.0	Ćosić, Dobrica	A time of death / | $c: Dobrica Ćosić ; translated by Muriel Heppell.		World War, 1914-1918	 
nnc2.ark+=13960=t0qr4vd42	adventure stories	1880.0	Sargent, Epes	American adventure by land and sea		Adventure and adventurers|Voyages and travels	 
uc2.ark+=13960=t0pr7zc0r	adventure stories	1880.0	Sargent, Epes	American adventure by land and sea		Adventure and adventurers|Voyages and travels	 
inu.39000002119589	mystery and detective fiction	1935.0	Sayers, Dorothy L. (Dorothy Leigh)	The unpleasantness at the Bellona Club / | $c: by Dorothy L. Sayers.	Detective and mystery stories	Wimsey, Peter, Lord (Fictitious character)|Private investigators|England	 
uc1.b3151748	mystery and detective fiction	1935.0	Hannah, Dorothy	Murder unleashed / | $c: by Dorothy Bennett.	San Francisco Bay Area|Mystery and detective fiction|California		 
mdp.39015066805832	historical fiction	2006.0		A Fictional history of the United States : | with huge chunks missing / | $c: edited by T. Cooper and Adam Mansbach.	Bibliographies	History|Civilization	 
mdp.39015019775629	tales|folklore	1978.0	p'Bitek, Okot	Hare and hornbill / | $c: [compiled and translated from the Acholi by] Okot p'Bitek.		Africa|Tales|Animals|Folklore|Zoology	 
uva.x000464259	random	1864.0	Hawthorne, Nathaniel	The works of Nathaniel Hawthorne, | $c: edited by Julian Hawthorne.			 
uc1.32106018951035	short stories	1910.0	Tolstoy, Leo, graf	The Cossacks and other stories / | $c: Leo Tolstoy ; translated with notes by David McDuff and Paul Foote ; with an introduction by Paul Foote	Bibliographies|Short stories	graf|1828-1910|Translations into English|Tolstoy, Leo	 
nyp.33433076053523	historical fiction	1900.0	Sage, William	Robert Tournay; | a romance of the French revolution, | $c: by William Sage; with illustrations by Eric Pape and Mary Ayer.		History|Revolution, 1789-1799	 
mdp.39015030738036	historical fiction	1978.0	Finney, Patricia	The crow goddess / | $c: Patricia Finney.		Roman period, 55 B.C.-449 A.D|History	 
mdp.39015066740294	mystery and detective fiction	2006.0	Rendell, Ruth	The water's lovely / | $c: Ruth Rendell.	Detective and mystery stories	Drowning victims|Sisters	 
mdp.39015066739841	random	2006.0		Outside of a dog-- : | an anthology of new writing / | $c: introduction by Alan Bissett.	Bibliographies	21st century|Scotland|English literature|Literary collections|Dept. of English Literature|University of Glasgow	 
mdp.39015046412592	random|war stories	1978.0	Johnson, F. B	Hour of redemption : | the Ranger raid on Cabanatuan / | $c: Forrest Bryant Johnson.	Bibliographies	Philippines|Prisoners and prisons, Japanese|Campaigns|Luzon|World War, 1939-1945	 
mdp.39015011037499	science fiction	1946.0	Wells, H. G. (Herbert George)	The collector's book of science fiction by H.G. Wells : | from rare, original, illustrated magazines / | $c: selected by Alan K. Russell.	Bibliographies	Science fiction, English	 
